iter	Passed	Remaining
0	133	132872
1	134	67132
2	136	45206
3	137	34226
4	139	27666
5	140	23261
6	141	20109
7	143	17771
8	144	15941
9	146	14483
10	147	13285
11	149	12292
12	150	11459
13	152	10757
14	154	10128
15	155	9585
16	156	9073
17	158	8632
18	159	8236
19	160	7875
20	161	7539
21	162	7236
22	163	6954
23	164	6698
24	165	6458
25	166	6236
26	167	6024
27	167	5830
28	168	5648
29	169	5490
30	170	5332
31	171	5180
32	171	5039
33	172	4903
34	173	4780
35	174	4663
36	174	4552
37	175	4451
38	176	4348
39	177	4251
40	177	4160
41	178	4072
42	179	3985
43	179	3904
44	181	3843
45	182	3775
46	183	3713
47	184	3651
48	185	3591
49	185	3531
50	186	3473
51	187	3414
52	187	3358
53	188	3304
54	189	3253
55	190	3203
56	190	3156
57	191	3108
58	192	3066
59	193	3024
60	193	2981
61	194	2947
62	196	2923
63	197	2892
64	198	2855
65	199	2817
66	199	2782
67	200	2746
68	201	2713
69	201	2679
70	202	2646
71	202	2614
72	203	2582
73	203	2551
74	204	2521
75	204	2491
76	205	2463
77	206	2435
78	206	2407
79	207	2380
80	207	2354
81	208	2329
82	208	2304
83	209	2280
84	210	2269
85	211	2251
86	212	2230
87	213	2208
88	213	2186
89	214	2165
90	214	2144
91	215	2124
92	215	2104
93	216	2084
94	216	2064
95	217	2046
96	217	2027
97	218	2009
98	218	1991
99	219	1973
100	219	1956
101	220	1939
102	220	1922
103	221	1906
104	221	1891
105	222	1875
106	222	1859
107	223	1845
108	223	1830
109	224	1819
110	225	1806
111	226	1795
112	227	1782
113	227	1768
114	228	1755
115	228	1740
116	228	1727
117	229	1714
118	229	1702
119	230	1689
120	230	1677
121	231	1663
122	231	1651
123	232	1640
124	232	1628
125	233	1617
126	233	1606
127	234	1595
128	234	1584
129	235	1573
130	235	1563
131	236	1553
132	236	1542
133	237	1532
134	237	1523
135	238	1514
136	238	1504
137	239	1497
138	240	1492
139	241	1486
140	242	1477
141	243	1469
142	243	1460
143	244	1451
144	244	1442
145	245	1434
146	245	1425
147	246	1417
148	246	1409
149	247	1401
150	247	1393
151	248	1384
152	248	1376
153	249	1369
154	249	1361
155	250	1353
156	250	1346
157	251	1338
158	251	1331
159	252	1326
160	253	1318
161	253	1311
162	254	1304
163	255	1301
164	256	1295
165	256	1289
166	257	1283
167	258	1278
168	258	1271
169	259	1265
170	259	1259
171	260	1252
172	260	1247
173	261	1241
174	261	1234
175	262	1228
176	262	1222
177	263	1216
178	264	1210
179	264	1205
180	265	1199
181	265	1193
182	266	1189
183	266	1183
184	267	1178
185	267	1172
186	268	1167
187	269	1161
188	270	1159
189	270	1155
190	272	1153
191	273	1148
192	273	1144
193	274	1139
194	274	1135
195	275	1130
196	276	1125
197	276	1120
198	277	1115
199	277	1110
200	278	1105
201	278	1100
202	279	1095
203	279	1091
204	280	1086
205	280	1081
206	281	1077
207	281	1072
208	282	1067
209	282	1063
210	283	1058
211	283	1054
212	284	1051
213	285	1049
214	286	1046
215	287	1042
216	287	1038
217	288	1034
218	288	1029
219	289	1025
220	289	1021
221	290	1017
222	290	1013
223	291	1009
224	291	1005
225	292	1001
226	292	997
227	293	993
228	294	990
229	294	986
230	295	982
231	295	978
232	296	975
233	296	971
234	297	967
235	297	963
236	298	960
237	298	956
238	299	954
239	300	952
240	301	949
241	302	946
242	302	943
243	303	939
244	303	936
245	304	932
246	304	929
247	305	925
248	305	922
249	306	918
250	306	915
251	307	912
252	308	909
253	308	906
254	309	903
255	309	899
256	310	896
257	310	893
258	311	890
259	311	887
260	312	883
261	312	880
262	313	877
263	313	875
264	315	874
265	315	871
266	316	869
267	317	866
268	317	863
269	318	860
270	318	857
271	319	854
272	319	851
273	320	848
274	320	845
275	321	844
276	322	841
277	323	839
278	323	836
279	324	833
280	324	830
281	325	827
282	325	825
283	326	822
284	326	819
285	327	816
286	327	814
287	328	811
288	329	809
289	330	808
290	331	806
291	331	804
292	332	802
293	333	799
294	333	797
295	334	794
296	334	792
297	335	789
298	335	787
299	336	784
300	336	782
301	337	779
302	337	777
303	338	774
304	338	772
305	339	769
306	339	767
307	340	765
308	341	762
309	341	760
310	342	757
311	342	755
312	343	753
313	343	751
314	344	749
315	345	748
316	346	746
317	347	744
318	347	742
319	348	739
320	349	739
321	349	736
322	350	734
323	350	732
324	351	729
325	351	727
326	352	725
327	352	723
328	353	720
329	354	718
330	354	716
331	355	714
332	355	712
333	356	709
334	356	707
335	357	705
336	357	703
337	358	701
338	358	699
339	360	699
340	361	698
341	361	696
342	362	694
343	363	692
344	363	690
345	364	688
346	364	686
347	365	684
348	365	682
349	366	680
350	366	678
351	367	676
352	367	674
353	368	672
354	368	670
355	369	668
356	369	666
357	370	664
358	370	662
359	371	660
360	371	658
361	372	656
362	372	654
363	373	653
364	375	652
365	375	651
366	376	649
367	377	648
368	378	646
369	378	644
370	379	643
371	379	641
372	380	639
373	381	637
374	381	636
375	382	634
376	383	633
377	384	632
378	385	631
379	386	631
380	388	631
381	392	634
382	393	634
383	394	633
384	395	632
385	396	631
386	397	629
387	398	629
388	399	627
389	400	626
390	402	626
391	402	625
392	404	624
393	407	627
394	408	626
395	409	625
396	410	623
397	411	622
398	412	621
399	413	620
400	414	618
401	415	617
402	416	616
403	417	615
404	418	615
405	423	619
406	424	618
407	425	617
408	426	616
409	427	615
410	428	613
411	429	612
412	430	611
413	431	610
414	434	611
415	435	611
416	436	610
417	437	609
418	438	607
419	439	606
420	440	605
421	441	604
422	442	604
423	444	603
424	445	602
425	446	601
426	450	605
427	452	604
428	453	603
429	455	603
430	456	602
431	457	601
432	458	600
433	459	599
434	460	598
435	461	597
436	464	598
437	466	598
438	468	598
439	471	600
440	473	600
441	475	600
442	476	599
443	480	601
444	482	601
445	483	600
446	484	599
447	486	599
448	487	598
449	488	597
450	489	596
451	490	594
452	492	594
453	494	594
454	495	593
455	496	592
456	497	591
457	498	590
458	499	589
459	500	587
460	503	588
461	504	587
462	505	586
463	506	585
464	507	583
465	509	583
466	510	582
467	514	584
468	518	586
469	519	585
470	520	584
471	521	583
472	522	581
473	523	581
474	527	582
475	528	582
476	529	580
477	531	579
478	532	578
479	533	577
480	534	576
481	535	575
482	536	574
483	537	572
484	538	571
485	541	572
486	544	573
487	545	572
488	547	571
489	548	570
490	549	569
491	550	568
492	551	567
493	552	566
494	553	565
495	558	567
496	559	566
497	560	565
498	561	563
499	562	562
500	575	572
501	576	571
502	577	570
503	578	569
504	579	568
505	580	567
506	581	565
507	582	564
508	583	562
509	584	561
510	585	560
511	589	562
512	591	561
513	592	560
514	593	558
515	594	557
516	595	556
517	596	554
518	597	553
519	598	552
520	599	551
521	600	550
522	606	553
523	608	552
524	609	551
525	610	549
526	611	548
527	612	547
528	612	545
529	613	544
530	614	542
531	615	541
532	620	543
533	621	542
534	623	541
535	624	540
536	625	539
537	626	537
538	627	536
539	628	535
540	629	534
541	630	533
542	631	531
543	636	533
544	637	532
545	638	530
546	639	529
547	640	528
548	641	526
549	642	525
550	643	524
551	644	523
552	646	522
553	648	522
554	650	521
555	651	520
556	652	518
557	653	517
558	654	516
559	655	515
560	656	513
561	657	512
562	659	511
563	660	510
564	661	509
565	663	508
566	664	507
567	665	506
568	666	504
569	667	503
570	668	502
571	669	500
572	670	499
573	671	498
574	672	497
575	673	496
576	674	494
577	675	493
578	676	492
579	678	491
580	679	489
581	679	488
582	681	487
583	682	485
584	682	484
585	683	483
586	684	481
587	685	480
588	686	479
589	687	478
590	688	476
591	689	475
592	690	474
593	691	472
594	693	472
595	694	470
596	695	469
597	696	468
598	697	466
599	698	465
600	699	464
601	700	463
602	701	461
603	702	460
604	703	459
605	704	458
606	705	456
607	706	455
608	707	454
609	709	453
610	710	452
611	711	450
612	712	449
613	713	448
614	714	447
615	715	445
616	716	444
617	716	443
618	717	441
619	718	440
620	719	439
621	720	438
622	721	436
623	722	435
624	724	434
625	725	433
626	726	432
627	727	431
628	728	429
629	729	428
630	730	427
631	731	425
632	732	424
633	733	423
634	734	422
635	735	420
636	736	419
637	737	418
638	739	417
639	740	416
640	741	415
641	742	413
642	743	412
643	744	411
644	745	410
645	746	409
646	747	407
647	748	406
648	749	405
649	750	404
650	751	402
651	752	401
652	753	400
653	754	399
654	756	398
655	757	397
656	758	395
657	759	394
658	760	393
659	761	392
660	762	390
661	763	389
662	764	388
663	765	387
664	765	385
665	766	384
666	767	383
667	769	382
668	770	381
669	771	380
670	772	378
671	773	377
672	774	376
673	775	375
674	776	373
675	777	372
676	778	371
677	779	370
678	780	368
679	781	367
680	782	366
681	783	365
682	784	364
683	786	363
684	786	361
685	787	360
686	788	359
687	789	358
688	790	356
689	791	355
690	792	354
691	793	353
692	794	352
693	795	350
694	796	349
695	797	348
696	799	347
697	800	346
698	801	345
699	802	343
700	803	342
701	804	341
702	805	340
703	806	339
704	807	338
705	808	336
706	809	335
707	810	334
708	812	333
709	813	332
710	814	331
711	815	330
712	817	328
713	818	327
714	819	326
715	820	325
716	821	324
717	822	322
718	823	321
719	824	320
720	825	319
721	826	318
722	828	317
723	829	316
724	830	315
725	831	313
726	833	312
727	833	311
728	834	310
729	835	309
730	837	308
731	838	306
732	839	305
733	839	304
734	842	303
735	845	303
736	846	302
737	847	300
738	848	299
739	849	298
740	850	297
741	851	296
742	852	294
743	853	293
744	854	292
745	855	291
746	856	290
747	857	288
748	858	287
749	859	286
750	860	285
751	861	284
752	862	283
753	864	281
754	865	280
755	866	279
756	867	278
757	867	277
758	868	275
759	869	274
760	870	273
761	871	272
762	872	271
763	873	269
764	875	268
765	877	268
766	878	266
767	879	265
768	880	264
769	881	263
770	882	262
771	883	260
772	885	259
773	886	258
774	887	257
775	888	256
776	889	255
777	890	254
778	891	252
779	892	251
780	893	250
781	894	249
782	895	248
783	896	247
784	898	246
785	900	245
786	901	243
787	902	242
788	903	241
789	904	240
790	906	239
791	907	238
792	908	237
793	909	235
794	910	234
795	911	233
796	912	232
797	913	231
798	914	230
799	915	228
800	916	227
801	917	226
802	918	225
803	918	224
804	919	222
805	920	221
806	922	220
807	923	219
808	924	218
809	925	217
810	926	215
811	927	214
812	928	213
813	929	212
814	931	211
815	931	210
816	932	208
817	933	207
818	934	206
819	935	205
820	937	204
821	938	203
822	939	202
823	940	200
824	942	199
825	943	198
826	944	197
827	945	196
828	945	195
829	946	193
830	948	192
831	949	191
832	950	190
833	951	189
834	952	188
835	953	187
836	954	185
837	956	184
838	956	183
839	957	182
840	958	181
841	959	180
842	960	178
843	961	177
844	962	176
845	963	175
846	964	174
847	965	173
848	966	171
849	969	171
850	971	170
851	984	171
852	987	170
853	988	169
854	989	167
855	990	166
856	991	165
857	992	164
858	993	163
859	995	161
860	996	160
861	997	159
862	1000	158
863	1002	157
864	1003	156
865	1004	155
866	1004	154
867	1005	152
868	1006	151
869	1007	150
870	1008	149
871	1009	148
872	1010	147
873	1012	145
874	1014	144
875	1015	143
876	1016	142
877	1017	141
878	1018	140
879	1019	139
880	1020	137
881	1022	136
882	1023	135
883	1023	134
884	1024	133
885	1025	131
886	1027	130
887	1031	130
888	1033	129
889	1034	127
890	1035	126
891	1037	125
892	1038	124
893	1039	123
894	1039	122
895	1041	120
896	1042	119
897	1043	118
898	1045	117
899	1047	116
900	1048	115
901	1049	114
902	1050	112
903	1051	111
904	1052	110
905	1053	109
906	1054	108
907	1055	106
908	1056	105
909	1058	104
910	1084	105
911	1099	106
912	1119	106
913	1133	106
914	1140	105
915	1141	104
916	1143	103
917	1144	102
918	1146	101
919	1147	99
920	1149	98
921	1157	97
922	1159	96
923	1160	95
924	1161	94
925	1162	92
926	1168	92
927	1171	90
928	1172	89
929	1174	88
930	1177	87
931	1179	86
932	1180	84
933	1183	83
934	1185	82
935	1186	81
